Title,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,equipment_details,equipment,muscle_group
2 Handed Kettlebell Swing,,,,,,,Null
3/4 sit-up,https://www.bodybuilding.com/exercises/34-sit-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
90-degree jump squat,,,,,,,Quadriceps
90/90 Hamstring,,,,,,,Hamstrings
Ab Crunch Machine,,,,,,,Abdominals
Ab Roller,https://www.bodybuilding.com/exercises/ab-roller,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,Abdominals
Ab bicycle,https://www.bodybuilding.com/exercises/air-bike,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Adductor SMR,,,,,,,Adductors
Adductor/Groin,,,,,,,Adductors
Advanced Kettlebell Windmill,,,,,,,Abdominals
Alien Squat,,,,,,,Quadriceps
All Fours Quad Stretch,,,,,,,Quadriceps
Alternate Hammer Curl,https://www.bodybuilding.com/exercises/alternate-hammer-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Alternate Incline Dumbbell Curl,https://www.bodybuilding.com/exercises/alternate-incline-dumbbell-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Alternate Leg Diagonal Bound,,,,,,,Quadriceps
Alternating Deltoid Raise,https://www.bodybuilding.com/exercises/alternating-deltoid-raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Alternating Hang Clean,,,,,,,Hamstrings
Alternating Kettlebell Press,https://www.bodybuilding.com/exercises/alternating-kettlebell-press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_2.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/kettlebells,Kettlebells,Shoulders
Alternating Kettlebell Row,,,,,,,Middle Back
Alternating dumbbell front raise,https://www.bodybuilding.com/exercises/front-dumbbell-raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Alternating dumbbell front raise,https://www.bodybuilding.com/exercises/front-dumbbell-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Alternating heel-touch,,,,,,,Abdominals
Alternating incline dumbbell biceps curl,https://www.bodybuilding.com/exercises/incline-dumbbell-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Alternating lunge jump,,,,,,,Hamstrings
Alternating sit-through with crunch,https://www.bodybuilding.com/exercises/bent-over-one-arm-long-bar-row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/middle-back,https://www.bodybuilding.com/exercises/equipment/other,Other,Middle Back
Alternating standing shoulder press,https://www.bodybuilding.com/exercises/standing-alternating-dumbbell-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Ankle Circles,,,,,,,Calves
Anterior Tibialis-SMR,,,,,,,Calves
Arm circle,,,,,,,Shoulders
Arms-crossed jump squat,https://www.bodybuilding.com/exercises/freehand-jump-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43a-arms-crossed-jump-squat-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Quadriceps
Arnold Shoulder Press,,,,,,,Null
Arnold press,https://www.bodybuilding.com/exercises/arnold-dumbbell-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Around The Worlds,,,,,,,Chest
Atlas Stone Trainer,,,,,,,Lower Back
Atlas Stones,https://www.bodybuilding.com/exercises/atlas-stones,https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_2.jpg,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/other,Other,Lower Back
Axe Hold,,,,,,,Null
Axle Deadlift,https://www.bodybuilding.com/exercises/axle-deadlift,,,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/other,Other,Lower Back
Back Flyes - With Bands,,,,,,,Shoulders
Back Squat,,,,,,,Null
Back extension,https://www.bodybuilding.com/exercises/hyperextensions-back-extensions,,,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Lower Back
Back extension,https://www.bodybuilding.com/exercises/hyperextensions-back-extensions,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Lower Back
Backward Drag,,,,,,,Quadriceps
Backward Medicine Ball Throw,,,,,,,Shoulders
Balance Board,,,,,,,Calves
Band Good Morning,,,,,,,Hamstrings
Band Good Morning (Pull Through),https://www.bodybuilding.com/exercises/band-good-morning-pull-through,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,https://www.bodybuilding.com/exercises/equipment/bands,Bands,Hamstrings
Band Hip Adductions,https://www.bodybuilding.com/exercises/band-hip-adductions,https://www.bodybuilding.com/exercises/exerciseImages/sequences/850/Male/m/850_2.jpg,,https://www.bodybuilding.com/exercises/muscle/adductors,https://www.bodybuilding.com/exercises/equipment/bands,Bands,Adductors
Band Pull Apart,,,,,,,Shoulders
Band Skull Crusher,https://www.bodybuilding.com/exercises/band-skull-crusher,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/m/1211_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/m/1211_2.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/finder,,Triceps
Band-assisted pull-up,,,,,,,Lats
Bar shoulder extension stretch,,,,,,,Shoulders
Barbell Ab Rollout,,,,,,,Null
Barbell Ab Rollout - On Knees,https://www.bodybuilding.com/exercises/barbell-ab-rollout-on-knees,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Abdominals
Barbell Bench Press - Medium Grip,https://www.bodybuilding.com/exercises/barbell-bench-press-medium-grip,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Chest
Barbell Bench Press-Wide Grip,,,,,,,Chest
Barbell Bulgarian split squat,https://www.bodybuilding.com/exercises/one-leg-barbell-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m1-crop-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m2-crop-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Barbell Curl,https://www.bodybuilding.com/exercises/barbell-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Biceps
Barbell Curls Lying Against An Incline,https://www.bodybuilding.com/exercises/barbell-curls-lying-against-an-incline,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_2.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Biceps
Barbell Deadlift,https://www.bodybuilding.com/exercises/barbell-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Hamstrings
Barbell Front-To-Back Squat,,,,,,,Quadriceps
Barbell Full Squat,https://www.bodybuilding.com/exercises/barbell-full-squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Barbell Guillotine Bench Press,,,,,,,Chest
Barbell Hack Squats,,,,,,,Null
Barbell Hip Thrust,https://www.bodybuilding.com/exercises/barbell-hip-thrust,,,https://www.bodybuilding.com/exercises/muscle/glutes,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Glutes
Barbell Incline Bench Press Medium-Grip,https://www.bodybuilding.com/exercises/barbell-incline-bench-press-medium-grip,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Chest
Barbell Lunges,,,,,,,Null
Barbell Seated Calf Raise,,,,,,,Calves
Barbell Shoulder Press,https://www.bodybuilding.com/exercises/barbell-shoulder-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Shoulders
Barbell Side Bend,,,,,,,Abdominals
Barbell Squat,https://www.bodybuilding.com/exercises/barbell-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Barbell Squat To A Bench,,,,,,,Quadriceps
Barbell Triceps Extension,,,,,,,Null
Barbell back squat,,,,,,,Quadriceps
Barbell back squat to box,https://www.bodybuilding.com/exercises/box-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Barbell behind-the-back shrug,,,,,,,Traps
Barbell deficit deadlift,https://www.bodybuilding.com/exercises/deficit-deadlift,,,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Lower Back
Barbell forward lunge,https://www.bodybuilding.com/exercises/barbell-lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Barbell front raise,,,,,,,Shoulders
Barbell front squat,https://www.bodybuilding.com/exercises/front-barbell-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Null
Barbell front squat to back squat,,,,,,,Quadriceps
Barbell front squat-,,,,,,,Quadriceps
Barbell glute bridge,https://www.bodybuilding.com/exercises/barbell-glute-bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/glutes,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Glutes
Barbell hack squat,https://www.bodybuilding.com/exercises/barbell-hack-squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Barbell pull-over to press,,,,,,,Lats
Barbell rear delt bent-over row,https://www.bodybuilding.com/exercises/barbell-rear-delt-row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-03b-barbell-rear-delt-bent-over-row-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-03b-barbell-rear-delt-bent-over-row-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Shoulders
Barbell reverse lunge,,,,,,,Quadriceps
Barbell roll-out,https://www.bodybuilding.com/exercises/barbell-ab-rollout,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Abdominals
Barbell seal row,,,,,,,Middle Back
Barbell shrug,https://www.bodybuilding.com/exercises/barbell-shrug,,,https://www.bodybuilding.com/exercises/muscle/traps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Traps
Barbell shrug,https://www.bodybuilding.com/exercises/barbell-shrug,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/traps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Traps
